옥상달빛,칵테일 사랑,https://www.youtube.com/watch?v=3z1KFSdP084,https://open.spotify.com/track/0QAaVOBCuf5p8OjYxmRfgr?si=526cf2bd1a124236,https://music.apple.com/us/album/%EC%B9%B5%ED%85%8C%EC%9D%BC-%EC%82%AC%EB%9E%91-feat-%EC%8B%A0%EC%9E%AC/914790458?i=914790500
Ann-Marie2002,,https://www.youtube.com/watch?v=kxqn8FAVbpU,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo?si=ca47ded82bb045b3,https://music.apple.com/us/album/2002/1418704441?i=1418704730
볼빨간사춘기,여행,https://youtube.com/watch?v=DMcRIihAq9Q&list=RDAMVMDMcRIihAq9Q,https://open.spotify.com/track/4dMGKGfaWMZNLQEjkd8lme?si=10fa0ac784134064,https://music.apple.com/us/album/travel/1550539050?i=1550539052
태연,제주도의 푸른 밤,https://youtube.com/watch?v=IePq5KpiI5A&list=RDAMVMIePq5KpiI5A,https://open.spotify.com/track/1bkVIRImvamFobcgE8aVW0?si=1f673d5c8cb54555,https://music.apple.com/us/album/the-blue-night-of-jeju-island/1280311380?i=1280311518
코요태,바다,https://youtube.com/watch?v=CED2_DTUhok&list=RDAMVMCED2_DTUhok,https://open.spotify.com/track/5QzVt5AIkZ4UNOAGVhXFJS?si=9e40ea3506c54812,https://music.apple.com/us/album/the-sea/1523978086?i=1523978087
